ProductID,Tier
100009,
1014,
10272,
10303,
10350,
10468,
10499,
10779,
11149,
1225,
1229,
1233,
1286,
13175,
13183,
13192,
13235,
13244,
13248,
13254,
13263,
13270,
14105,
14109,
14115,
1417,
1434,
1439,
1486,
1498,
1504,
15084,
1509,
15092,
1513,
1519,
15200,
15219,
1522,
15238,
15278,
15281,
1531,
15367,
15509,
15518,
15525,
15698,
15702,
15732,
15744,1.0
1579,
1584,
1618,
1733,
1738,
17748,
1813,
1823,
18563,
18631,
18636,
18639,
18642,
18645,
18649,
19199,
19201,
19203,
19206,
19277,1.0
19323,
19346,1.0
19364,1.0
19425,1.0
19559,
19562,
19573,
19575,
19613,
19645,
19648,
19650,
19729,
19739,2.0
19846,
19850,
19852,
19856,
19862,
19864,
19898,
19900,
19939,
19983,
200096,
200124,
20022,
20024,
200283,
200588,
200695,
200734,
200885,
200905,
200908,
200909,
200910,
201142,
20118,
201228,
20123,
201248,
201301,
20137,
201586,
201656,
201676,
201677,
201748,
20177,
20184,
20197,
20204,
202087,
20209,
202093,
20212,
20219,
20221,
20229,
20233,1.0
20236,
20237,
20240,
20241,
20248,
202494,
20261,
202857,
20287,
20291,
20294,
20302,
20304,
20309,
20313,
20315,
20317,
203174,2.0
203175,
203177,
20320,
20321,
203276,
203286,1.0
20333,
20335,
20350,
20365,
20370,
203858,
20387,
203895,
20407,
204080,
20412,
20414,
20418,
204259,
20434,
204384,
20439,
20448,
20453,
20455,
20457,
20465,
20467,
204689,
20469,
204709,
204716,
20473,
20475,
20477,
20487,
20490,
20492,
20495,
20497,
20500,
20504,
205109,
205160,
205161,
205218,
20523,
205359,
205833,
206014,1.0
206039,2.0
206040,
206253,
206346,
206358,
206583,
206742,
207381,
20780,
20806,
20808,
20817,
20821,
20824,
208390,
20849,
208494,
20855,
208681,
20872,
20874,
20877,
208815,
20891,
208958,
209003,
209018,
209457,1.0
20946,
20949,
20953,
20965,
209793,
209836,
210208,
210218,
210240,
210323,
210445,1.0
210503,
210592,
21076,
210772,
211235,
211297,
211310,
211457,
211501,
211625,
211665,
211667,
211670,
211940,
212127,
212456,
213180,
21345,
213502,
213508,
21351,
21361,
213664,
214054,
214144,1.0
214152,
214247,
214371,
214499,
214551,
214553,
214554,
214555,
214642,
214645,
214842,
214845,
214850,
214853,
214859,
214862,
214984,
214993,
215114,
215195,
215387,
215793,
215794,
215879,
216113,
216332,
216510,2.0
216629,
216821,
217178,
217424,
217685,
217769,
217792,
217968,1.0
217993,
218444,
218898,
218924,
219152,
219182,1.0
219191,
219205,1.0
219207,
219211,
219213,
219216,3.0
219649,
219653,
219654,
219657,
220240,
220638,
220773,
220795,
220797,
22084,
220874,
221,
22107,
22126,
22155,
22187,
221930,
22197,
221993,1.0
222201,
222297,
22255,
222674,
22279,
22285,
222919,
22318,
22330,
22349,
223647,
223810,1.0
223989,
22405,
22409,
22442,
225349,
22565,
22587,
226004,
226013,
226161,
226324,
226493,
226591,
22665,
226691,
226760,
226771,
226773,
22686,
22689,
227074,
22710,
22713,
227145,
227284,
22746,
227681,
22770,
227718,
228032,
22845,
22846,
22848,
22849,
22850,
22851,
22852,
22853,
22854,
228540,
22855,
22856,
22857,
22858,
22859,
22860,
22863,
22864,
22865,
22866,
22867,
22868,
22869,
22872,
22874,
22875,
22876,
22877,
22878,
22882,
22883,
22884,
22885,
22888,
22890,
22892,
22893,
22894,
22895,
228955,
22896,
22897,
22898,
228989,
22899,
228991,
228992,
228993,
22900,
22901,
22902,
22904,
22905,
22906,
22907,
22908,
22909,
22910,
229103,
22911,
22912,
22914,
22915,
22916,
22917,
22918,
22919,
22920,
22921,
22922,
22923,
22924,
22925,
22926,
22927,
22928,
22929,
22930,
22932,
22933,
22934,
22935,
22936,
229369,
22949,
22950,
22951,
22952,
229524,
22955,
22956,
22957,
22958,
22959,
22960,
22962,
22963,
22965,
22966,
22967,
22968,
22969,
22971,
22972,
22974,
22975,
22977,
229788,
22979,
229791,
22980,
22987,
22991,
22992,
22999,
230004,
230078,1.0
23013,
23014,
23015,
23016,
23017,
23018,
23019,
23020,
23021,
23022,
230247,
23026,
23028,
23031,
23048,
23049,
23050,
23051,
23052,
230557,
23058,
23059,
230593,
23061,
23062,
23063,
23064,
23065,
23066,
23067,
23068,
23069,
23070,
230702,
23071,
230712,
230713,
23072,
23073,
23074,
230751,
230823,
23090,
23091,
230936,
23095,
23096,
230986,
231043,
23106,
23107,
23108,
231087,
231244,
23126,
23127,
23129,
23130,
23131,
23132,
23133,
23135,
231468,
23149,
23151,
23153,
23154,
23157,
23158,
23160,
23164,
23165,
23166,
23167,
23168,
23169,
23171,
23173,
231768,
23182,
23183,
23186,
23187,
231878,
23188,
23189,
23190,
23191,
23192,
23195,
23196,
23197,
23200,
23201,
23206,
23207,
232077,
23208,
23209,
232099,
23210,
23211,
23212,
23213,
23216,
23217,
23218,
232325,2.0
232334,
232370,
232372,
232376,
232407,
232525,
23261,
23262,
23263,
232632,
232638,
23264,
23266,
23267,
23269,
23272,
23275,
23276,
23278,
23279,
23291,
23292,
23310,
23311,
23312,
233238,
23339,
233636,
234200,
234231,
234355,
234509,
234510,
234511,
234512,
234932,
235059,
235131,
235165,
235171,2.0
235172,
235174,
235191,1.0
235516,
235585,
235613,2.0
235691,
235694,
235848,1.0
235998,
236063,
236215,
236228,
236230,
236231,
236301,
236343,
236347,
236349,
236356,
236363,
236364,
236367,
236590,
236627,
236630,
236631,
236632,
236634,
236638,
236643,
236649,
236650,
236653,
236655,
236656,
236658,
236668,
236669,
236672,
236675,
236676,
236710,
236713,
236714,
236715,
236716,
236720,
236721,
236723,
236725,
236726,
236799,
236800,
236808,
237097,
238099,
238138,
238298,
238877,
238878,
239674,
239998,
240031,
240717,
240761,
241284,
241957,
242193,
242242,
242622,
242907,
243391,
243449,
243450,
243455,
243458,
243546,
243813,
244228,
244281,
244530,
244657,
244939,1.0
244940,2.0
244942,
244943,1.0
244944,1.0
244945,
244946,
244947,
245062,
245128,
245129,2.0
245130,
245131,
245848,
245849,
245852,
245853,
245855,
245857,
245903,
246011,2.0
246270,
246413,
246423,
246426,
246477,
246478,
246482,
246496,
246497,
246508,
246777,
246796,
246797,
246800,
246801,
246837,
246839,
246840,
246841,
246844,
246904,
246979,
247010,
247045,
247322,
247418,
247428,2.0
247435,
247439,
247442,
247447,
247451,
247458,
247463,
247467,
247470,
247472,
247473,
247545,1.0
247722,
247816,
247919,
247921,
248064,
248187,
248353,1.0
248541,
248547,
248551,
248630,
248868,
249060,
249177,
249187,1.0
249430,
249594,
249954,
250075,
250377,2.0
250596,
250639,
250828,
250881,
251004,
251019,
251020,
251139,
251386,
251706,
252159,
252271,
252553,
252554,
252687,
252745,
252789,
252794,
252899,
253087,3.0
253091,
253361,
253454,
253555,1.0
253840,
254003,
254164,
254268,1.0
254340,
254553,
254580,
254608,
254661,
254800,
255103,
255105,
255111,
255125,1.0
255423,
255424,1.0
255526,
255527,
255552,
255999,
256067,
256068,
256074,
256082,
256094,
256230,3.0
256403,
256797,
256816,
256871,
257201,
257959,1.0
257963,
257981,
258208,
258387,
258451,
258458,1.0
